District,City,Name,Ratings,Desciption,Image,Link,
Alappuzha,Chengannur ,Nottavan Para View Point,4.7,The Unexplored Trail in Chengannur. People who loves Quite and Isolated places away from the hush and gush of Cities should definately visit the place.,https://media-cdn.tripadvisor.com/media/photo-s/1b/f2/42/4c/the-unexplored-trail.jpg,https://goo.gl/maps/VRD2woUeqfDaygrx5,
Alappuzha,Cherthala,Pariyaran Handicrafts,4.9,Local Thrift Shop,https://lh5.googleusercontent.com/p/AF1QipPUl6D_50kr71JwvcZoCX-cmQYZ6FZu9gaz31Y2=w408-h306-k-no,https://goo.gl/maps/VHSQvsiBpzEoQTCj6,
Alappuzha,Haripad ,Krishnapuram Palace,4.1,The Krishnapuram Palace is a palace and museum located in Haripad near Alappuzha in Alappuzha district,https://media-cdn.tripadvisor.com/media/photo-w/0e/4d/cd/a7/krishnapuram-palace.jpg,https://goo.gl/maps/RqKU3kTdFbz6STFx5,
Alappuzha,Kayamkulam,Azheekal Beach,4.4,"Azheekal Beach is an 800 meter long beach on the coast of the Arabian Sea, in Karunagappally Taluk of Kollam Metropolitan Area, Kerala, India. The beach got this name from the Malayalam word Aazhee, which means confluence of backwaters and the Sea.",https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcRV-hY402Yp6ZGdF4-GyTfqoBwfROUJJhKUdBBkPjiJVQIDD7AR0APw6TJYxQnJZlRPxXw5U0cfzYJ3CLMTtFO2Jg,https://goo.gl/maps/Cmhv4r3jcrCFFkan6,
Ernakulam,Aluva,Premam Bridge,4.5,This place is so famous by the epic movie Premam.it is a very nice place for couples for do photoshoot or do some chit chat or walk.,https://in.pinterest.com/pin/757167756079763976/,,https://goo.gl/maps/xrZTyjtTTRcNw44j7
Ernakulam,Angamaly,Sri Adi Sankara Keerthi Sthamb Mandapam,4.5,"Constructed by the Kanchi Kamakoti Math, it is located MC road in Kalady, an hour and half drive from Kochi and is located on the banks of the Periyar river.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/df/49/26/img-20151228-wa0006-largejpg.jpg?w=500&h=-1&s=1,,https://goo.gl/maps/6jKfoSJxvoFTACKu9
Ernakulam,Cheranallur,Abhayaranyam Kaprikkadu Ecotourism,4.1,"A few kilometres away from Kaprikad village in Ernakulam district lies�Abhayaranyam, a home for the homeless wild.",https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcTgnXiw728pUekW_lhB6J2Grx64AQlWjj2kBR-MkAdLIbeD5vlx4NUEVv2m5Lkol-wExfec3e8DTiM63Kt-_uTuTw,https://goo.gl/maps/DHPuzw7yP9QDaSZf9,
Ernakulam,Edappally,Museum Of Kerala History,4.2,"Kerala Museum�at Edapally, Kochi, India, is one of the oldest art and�history museums�in Kochi",https://lh5.googleusercontent.com/p/AF1QipPgJBZ3m2ny7_xUKX0hijwLB2k0uMYluufRw5Va=w408-h306-k-no,https://goo.gl/maps/Mv7xYAyW63nNhfei7,
Ernakulam,Kadamakudy,Kadamakkudy Islands,4.5,A cluster of small islands spread in backwaters and filled with paddy fields and fishing nets. The area is famous for fish farms and a kayak through the waters treats you with great views.,https://live-core-api.travalour.com/common/v1/thumbnail/0579688d-f131-4a72-9f8c-11d1f07a1c5b?format=webp&width=960,https://goo.gl/maps/W4Z5LevPCGr9mJgz8,
Ernakulam,Kochi,Cherai Beach,4.4,Cherai Beach�is near to Vypeen Island in Ernakulam district of Kerala. It is an ideal spot for swimming and viewing the Chinese fishing nets or Cheena Vala.,https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcQluh09k764WMsJwRD5Ts6CYB23MF9fKjfOqlTAB1_k6OnA9MUNWQHIoQf2dLhjOJ0784EHVTHy_SVKmFwC4IFuoQ,https://goo.gl/maps/quWZ68CZqae4xw8q6,
