District,City,Name,Ratings,Desciption,Image,Link
Alappuzha,Chengannur ,Nottavan Para View Point,4.7,"""The Unexplored Trail in Chengannur. People who loves Quite and Isolated places away from the hush and gush of Cities should definately visit the place.""",https://media-cdn.tripadvisor.com/media/photo-s/1b/f2/42/4c/the-unexplored-trail.jpg,https://goo.gl/maps/VRD2woUeqfDaygrx5
Alappuzha,Cherthala,Pariyaran Handicrafts,4.9,"""Local Thrift Shop""",https://lh5.googleusercontent.com/p/AF1QipPUl6D_50kr71JwvcZoCX-cmQYZ6FZu9gaz31Y2=w408-h306-k-no,https://goo.gl/maps/VHSQvsiBpzEoQTCj6
Alappuzha,Haripad ,Krishnapuram Palace,4.1,"""The Krishnapuram Palace is a palace and museum located in Haripad near Alappuzha in Alappuzha district""",https://media-cdn.tripadvisor.com/media/photo-w/0e/4d/cd/a7/krishnapuram-palace.jpg,https://goo.gl/maps/RqKU3kTdFbz6STFx5
Alappuzha,Kayamkulam,Azheekal Beach,4.4,"""Azheekal Beach is an 800 meter long beach on the coast of the Arabian Sea, in Karunagappally Taluk of Kollam Metropolitan Area, Kerala, India. The beach got this name from the Malayalam word Aazhee, which means confluence of backwaters and the Sea.""",https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcRV-hY402Yp6ZGdF4-GyTfqoBwfROUJJhKUdBBkPjiJVQIDD7AR0APw6TJYxQnJZlRPxXw5U0cfzYJ3CLMTtFO2Jg,https://goo.gl/maps/Cmhv4r3jcrCFFkan6
Ernakulam,Aluva,,,,,
Ernakulam,Angamaly,,,,,
Ernakulam,Cheranallur,,,,,
Ernakulam,Edappally,,,,,
Ernakulam,Eloor,,,,,
Ernakulam,Kadamakudy,,,,,
Ernakulam,Kochi,,,,,
Ernakulam,Paravur,,,,,
Ernakulam,Perumbavoor,,,,,
Ernakulam,Varappuzha,,,,,
Idukki,Adimali,,,,,
Idukki,Idukki Township,,,,,
Idukki,Kattappana,,,,,
Idukki,Munnar,,,,,
Idukki,Thekkady,,,,,
Idukki,Thodupuzha,,,,,
Kannur,Azhikode,,,,,
Kannur,Payyanur,,,,,
Kannur,Thalassery,,,,,
Kasaragod,Kasaragod,,,,,
Kasaragod,Nileshwaram,,,,,
Kollam,Kottarakkara,,,,,
Kottayam,Changanassery,,,,,
Kottayam,Pala,,,,,
Kottayam,Vaikom,,,,,
Kozhikode,Kozhikode,,,,,
Kozhikode,Thamarassery,,,,,
Malapuram,Malapuram,,,,,
Malapuram,Manjeri,,,,,
Malapuram,Nilambur,,,,,
Malapuram,Ponnani,,,,,
Palakkad,Palakkad,,,,,
Palakkad,Pattambi,,,,,
Palakkad,Shoranur,,,,,
Palakkad,Vadakkencherry,,,,,
Palakkad,Walayar,,,,,
Pathanamthitta,Konni,,,,,
Pathanamthitta,Pandalam,,,,,
Pathanamthitta,Pathanamthitta,,,,,
Pathanamthitta,Ranni,,,,,
Thiruvanathapuram,Attingal,,,,,
Thiruvanathapuram,Thiruvanathapuram,,,,,
Thiruvanathapuram,Varkala,,,,,
Thrissur,Chalakudy,,,,,
Thrissur,Guruvayur,,,,,
Thrissur,Kodungallor,,,,,
Thrissur,Mala,,,,,
Thrissur,Thrissur,,,,,
Wayanad,Kalpetta,,,,,
Wayanad,Mananthavady,,,,,
Wayanad,Sultan Bathery,,,,,
